Plot,Treatment,Row,Date,With Brood,Without Brood,Added.Brood,Added.No.Brood,Days.Since.Start
101,Control,1,2/22-2/24,7,0,NA,NA,0
101,Control,2,2/22-2/24,7,0,NA,NA,0
101,Control,3,2/22-2/24,7,0,NA,NA,0
101,Control,4,2/22-2/24,6,0,NA,NA,0
101,Control,5,2/22-2/24,12,0,39,0,0
102,HotWater,1,2/22-2/24,6,0,NA,NA,0
102,HotWater,2,2/22-2/24,8,0,NA,NA,0
102,HotWater,3,2/22-2/24,9,0,NA,NA,0
102,HotWater,4,2/22-2/24,6,0,NA,NA,0
102,HotWater,5,2/22-2/24,5,0,34,0,0
103,Chlorpyrifos,1,2/22-2/24,4,0,NA,NA,0
103,Chlorpyrifos,2,2/22-2/24,7,0,NA,NA,0
103,Chlorpyrifos,3,2/22-2/24,7,0,NA,NA,0
103,Chlorpyrifos,4,2/22-2/24,7,0,NA,NA,0
103,Chlorpyrifos,5,2/22-2/24,8,0,33,0,0
104,Clinch,1,2/22-2/24,4,0,NA,NA,0
104,Clinch,2,2/22-2/24,7,0,NA,NA,0
104,Clinch,3,2/22-2/24,9,0,NA,NA,0
104,Clinch,4,2/22-2/24,8,0,NA,NA,0
104,Clinch,5,2/22-2/24,6,0,34,0,0
105,Extinguish,1,2/22-2/24,3,0,NA,NA,0
105,Extinguish,2,2/22-2/24,8,0,NA,NA,0
105,Extinguish,3,2/22-2/24,6,0,NA,NA,0
105,Extinguish,4,2/22-2/24,5,0,NA,NA,0
105,Extinguish,5,2/22-2/24,6,0,28,0,0
201,Chlorpyrifos,1,2/22-2/24,9,0,NA,NA,0
201,Chlorpyrifos,2,2/22-2/24,8,0,NA,NA,0
201,Chlorpyrifos,3,2/22-2/24,4,0,NA,NA,0
201,Chlorpyrifos,4,2/22-2/24,10,0,NA,NA,0
201,Chlorpyrifos,5,2/22-2/24,13,0,44,0,0
202,Clinch,1,2/22-2/24,7,0,NA,NA,0
202,Clinch,2,2/22-2/24,9,0,NA,NA,0
202,Clinch,3,2/22-2/24,9,0,NA,NA,0
202,Clinch,4,2/22-2/24,11,0,NA,NA,0
202,Clinch,5,2/22-2/24,9,0,45,0,0
203,HotWater,1,2/22-2/24,6,0,NA,NA,0
203,HotWater,2,2/22-2/24,7,0,NA,NA,0
203,HotWater,3,2/22-2/24,7,0,NA,NA,0
203,HotWater,4,2/22-2/24,5,0,NA,NA,0
203,HotWater,5,2/22-2/24,4,0,29,0,0
204,Extinguish,1,2/22-2/24,4,0,NA,NA,0
204,Extinguish,2,2/22-2/24,5,0,NA,NA,0
204,Extinguish,3,2/22-2/24,2,0,NA,NA,0
204,Extinguish,4,2/22-2/24,5,0,NA,NA,0
204,Extinguish,5,2/22-2/24,3,0,19,0,0
205,Control,1,2/22-2/24,5,0,NA,NA,0
205,Control,2,2/22-2/24,6,0,NA,NA,0
205,Control,3,2/22-2/24,5,0,NA,NA,0
205,Control,4,2/22-2/24,6,0,NA,NA,0
205,Control,5,2/22-2/24,7,0,29,0,0
301,Chlorpyrifos,1,2/22-2/24,13,0,NA,NA,0
301,Chlorpyrifos,2,2/22-2/24,6,0,NA,NA,0
301,Chlorpyrifos,3,2/22-2/24,13,0,NA,NA,0
301,Chlorpyrifos,4,2/22-2/24,11,0,NA,NA,0
301,Chlorpyrifos,5,2/22-2/24,7,0,50,0,0
302,Extinguish,1,2/22-2/24,4,0,NA,NA,0
302,Extinguish,2,2/22-2/24,9,0,NA,NA,0
302,Extinguish,3,2/22-2/24,9,0,NA,NA,0
302,Extinguish,4,2/22-2/24,8,0,NA,NA,0
302,Extinguish,5,2/22-2/24,7,0,37,0,0
303,Clinch,1,2/22-2/24,9,0,NA,NA,0
303,Clinch,2,2/22-2/24,4,0,NA,NA,0
303,Clinch,3,2/22-2/24,5,0,NA,NA,0
303,Clinch,4,2/22-2/24,2,0,NA,NA,0
