day,combination,NPs,replicate,ANK_cell_ml,CHLA_cell_ml,SCE_cell_ml,SEL_cell_ml,STA_cell_ml,ANK_biomass_ml,CHLA_biomass_ml,SCE_biomass_ml,SEL_biomass_ml,STA_biomass_ml,cell_ml,biomass_ml
3,ANK+CHLA,0,1,700,750,0,0,0,19029.06,44451.91,0,0,0,1450,63480.97
3,ANK+CHLA,0,2,650,600,0,0,0,25597.82,38789.06,0,0,0,1250,64386.88
3,ANK+CHLA,0,3,450,300,0,0,0,52548.95,21390.11,0,0,0,750,73939.06
6,ANK+CHLA,0,1,18000,3050,0,0,0,239458.1,268458.2,0,0,0,21050,507916.3
6,ANK+CHLA,0,2,14550,2950,0,0,0,169960.6,218992,0,0,0,17500,388952.6
6,ANK+CHLA,0,3,12500,2750,0,0,0,168839.4,120081.6,0,0,0,15250,288921.1
9,ANK+CHLA,0,1,247000,19400,0,0,0,1611309,759549.3,0,0,0,266400,2370858
9,ANK+CHLA,0,2,248900,16850,0,0,0,1620915,669390.1,0,0,0,265750,2290305
9,ANK+CHLA,0,3,193700,11800,0,0,0,1183786,304104.3,0,0,0,205500,1487891
12,ANK+CHLA,0,1,428550,52750,0,0,0,1873902,1155447,0,0,0,481300,3029349
12,ANK+CHLA,0,2,500900,52800,0,0,0,2321169,1290511,0,0,0,553700,3611680
12,ANK+CHLA,0,3,508400,54600,0,0,0,2288040,1361473,0,0,0,563000,3649513
15,ANK+CHLA,0,1,843200,76900,0,0,0,3668782,2023144,0,0,0,920100,5691926
15,ANK+CHLA,0,2,1058300,112900,0,0,0,4586869,3037895,0,0,0,1171200,7624763
15,ANK+CHLA,0,3,995800,100100,0,0,0,4191957,2766041,0,0,0,1095900,6957998
18,ANK+CHLA,0,1,1427600,146000,0,0,0,8026615,4237427,0,0,0,1573600,12264042
18,ANK+CHLA,0,2,1291900,150700,0,0,0,7523950,3942670,0,0,0,1442600,11466620
18,ANK+CHLA,0,3,1118400,113700,0,0,0,6068268,2980848,0,0,0,1232100,9049116
21,ANK+CHLA,0,1,1971600,238700,0,0,0,10126520,5533078,0,0,0,2210300,15659598
21,ANK+CHLA,0,2,2028500,243400,0,0,0,10159068,5675748,0,0,0,2271900,15834816
21,ANK+CHLA,0,3,1693600,158100,0,0,0,8857966,3615864,0,0,0,1851700,12473830
24,ANK+CHLA,0,1,2037400,264700,0,0,0,10275723,3549967,0,0,0,2302100,13825690
24,ANK+CHLA,0,2,1643100,223600,0,0,0,7835032,2919484,0,0,0,1866700,10754516
24,ANK+CHLA,0,3,1556500,202500,0,0,0,7256345,3166638,0,0,0,1759000,10422983
27,ANK+CHLA,0,1,1467600,186900,0,0,0,7917619,1714026,0,0,0,1654500,9631645
27,ANK+CHLA,0,2,1795900,251100,0,0,0,10122477,2786924,0,0,0,2047000,12909401
27,ANK+CHLA,0,3,2099200,279700,0,0,0,11810534,3071562,0,0,0,2378900,14882096
30,ANK+CHLA,0,1,1769400,213200,0,0,0,11968860,1858630,0,0,0,1982600,13827490
30,ANK+CHLA,0,2,2212100,296100,0,0,0,16037788,2846939,0,0,0,2508200,18884727
30,ANK+CHLA,0,3,2094000,285600,0,0,0,14658674,2962300,0,0,0,2379600,17620974
35,ANK+CHLA,0,1,2470600,270500,0,0,0,23893563,2631374,0,0,0,2741100,26524938
35,ANK+CHLA,0,2,2572400,273300,0,0,0,25320671,2481599,0,0,0,2845700,27802270
35,ANK+CHLA,0,3,2652900,297400,0,0,0,25490002,3324227,0,0,0,2950300,28814229
40,ANK+CHLA,0,1,1943800,137900,0,0,0,21676758,1162486,0,0,0,2081700,22839244
40,ANK+CHLA,0,2,2057000,179200,0,0,0,23885700,1876941,0,0,0,2236200,25762641
40,ANK+CHLA,0,3,2139100,171500,0,0,0,23854964,1366709,0,0,0,2310600,25221672
3,ANK+CHLA,2,1,650,1450,0,0,0,18248.19,73922.85,0,0,0,2100,92171.04
3,ANK+CHLA,2,2,600,900,0,0,0,25400.02,90691.12,0,0,0,1500,116091.1
3,ANK+CHLA,2,3,650,1200,0,0,0,31823.26,65271.8,0,0,0,1850,97095.06
6,ANK+CHLA,2,1,16550,10600,0,0,0,221845.1,500970.2,0,0,0,27150,722815.3
6,ANK+CHLA,2,2,13400,2650,0,0,0,175082.5,147877.7,0,0,0,16050,322960.2
6,ANK+CHLA,2,3,14550,7700,0,0,0,216570.6,402171.5,0,0,0,22250,618742
9,ANK+CHLA,2,1,184500,43450,0,0,0,1304542,1551207,0,0,0,227950,2855749
9,ANK+CHLA,2,2,227500,11900,0,0,0,1648882,640120.6,0,0,0,239400,2289002
9,ANK+CHLA,2,3,183050,21700,0,0,0,1777614,868273.4,0,0,0,204750,2645888
12,ANK+CHLA,2,1,418650,112500,0,0,0,2521921,3665373,0,0,0,531150,6187294
12,ANK+CHLA,2,2,542050,29050,0,0,0,2761609,975413,0,0,0,571100,3737022
12,ANK+CHLA,2,3,490150,49750,0,0,0,2817657,1619826,0,0,0,539900,4437483
15,ANK+CHLA,2,1,794600,160900,0,0,0,3728855,5090616,0,0,0,955500,8819471
15,ANK+CHLA,2,2,1000600,72900,0,0,0,3902178,2130480,0,0,0,1073500,6032657
15,ANK+CHLA,2,3,1016500,126100,0,0,0,4191703,3818612,0,0,0,1142600,8010315
18,ANK+CHLA,2,1,1281500,231800,0,0,0,5606758,4572039,0,0,0,1513300,10178798
18,ANK+CHLA,2,2,1451200,122800,0,0,0,6764395,3454652,0,0,0,1574000,10219047
18,ANK+CHLA,2,3,1515300,174000,0,0,0,7499833,4580071,0,0,0,1689300,12079904
21,ANK+CHLA,2,1,1702500,411300,0,0,0,7075456,6669672,0,0,0,2113800,13745128
21,ANK+CHLA,2,2,2027000,162000,0,0,0,9055649,3287230,0,0,0,2189000,12342879
21,ANK+CHLA,2,3,1869700,208900,0,0,0,7499127,3508012,0,0,0,2078600,11007139
24,ANK+CHLA,2,1,1574100,363900,0,0,0,7471714,4105515,0,0,0,1938000,11577230
24,ANK+CHLA,2,2,1874100,166800,0,0,0,8130676,2194803,0,0,0,2040900,10325479
24,ANK+CHLA,2,3,1756500,199600,0,0,0,8364008,2585702,0,0,0,1956100,10949710
27,ANK+CHLA,2,1,2117500,386700,0,0,0,12161384,3388184,0,0,0,2504200,15549568
