Season,Replicate,Canopy,Climate ,CENT_i,CENTi+1,CENT_b,CENT_ub,CENTub+1,CENT_f,CENT_delt,CENT_%loss,CENT_%f,CENT_%f+1,CHON_i,CHONi+1,CHON_b,CHON_ub,CHONub+1,CHON_f,CHON_delt,CHON_%loss,CHON_%f,CHON_%f+1,CORA_i,CORAi+1,CORA_b,CORA_ub,CORAub+1,CORA_f,CORA_delt,CORA_%loss,CORA_%f,CORA_%f+1,LAUR_i,LAURi+1,LAUR_b,LAUR_ub,LAURub+1,LAUR_f,LAUR_delt,LAUR_%loss,LAUR_%f,LAUR_%f+1
Summer,1,Present,RCP 4.5,4.06,5.06,0,2.08,3.08,2.08,-1.98,-48.76847291,51.23152709,60.86956522,10.15,11.15,0.092,3.044,4.044,3.136,-7.106,-70.00985222,29.99014778,36.2690583,8.99,9.99,1.311,1.751,2.751,3.062,-7.239,-80.52280311,19.47719689,27.53753754,2.59,3.59,0,0,1,0,-2.59,-100,0,27.8551532
Summer,2,Present,RCP 4.5,4.1,5.1,0.555,1.933,2.933,2.488,-2.167,-52.85365854,47.14634146,57.50980392,9.77,10.77,0,1.393,2.393,1.393,-8.377,-85.74206755,14.25793245,22.21912721,8.84,9.84,1.283,0.81,1.81,2.093,-8.03,-90.83710407,9.162895928,18.39430894,2.38,3.38,0,0,1,0,-2.38,-100,0,29.58579882
Summer,3,Present,RCP 4.5,4.05,5.05,2.713,0.063,1.063,2.776,-3.987,-98.44444444,1.555555556,21.04950495,10.11,11.11,0,1.199,2.199,1.199,-8.911,-88.140455,11.859545,19.7929793,9.03,10.03,1.743,1.961,2.961,3.704,-7.069,-78.28349945,21.71650055,29.52143569,2.54,3.54,0,0,1,0,-2.54,-100,0,28.24858757
Summer,4,Present,RCP 4.5,3.98,4.98,0,0,1,0,-3.98,-100,0,20.08032129,10.02,11.02,0,3.485,4.485,3.485,-6.535,-65.21956088,34.78043912,40.69872958,9.05,10.05,0.416,0,1,0.416,-9.05,-100,0,9.950248756,2.61,3.61,0,0,1,0,-2.61,-100,0,27.70083102
Summer,5,Present,RCP 4.5,4.1,5.1,0,0,1,0,-4.1,-100,0,19.60784314,10.08,11.08,0.398,1.672,2.672,2.07,-8.408,-83.41269841,16.58730159,24.11552347,9.19,10.19,0.281,0.128,1.128,0.409,-9.062,-98.60718172,1.392818281,11.06967615,2.62,3.62,0,0,1,0,-2.62,-100,0,27.62430939
Summer,6,Present,RCP 4.5,4.07,5.07,0.333,3.027,4.027,3.36,-1.043,-25.62653563,74.37346437,79.42800789,9.75,10.75,0,7.019,8.019,7.019,-2.731,-28.01025641,71.98974359,74.59534884,9.2,10.2,1.77,0.719,1.719,2.489,-8.481,-92.18478261,7.815217391,16.85294118,2.55,3.55,0,0,1,0,-2.55,-100,0,28.16901408
Summer,7,Present,RCP 4.5,3.92,4.92,3.143,0.333,1.333,3.476,-3.587,-91.50510204,8.494897959,27.09349593,10.19,11.19,0.04,1.1,2.1,1.14,-9.09,-89.20510304,10.79489696,18.76675603,9.06,10.06,0.7,0.649,1.649,1.349,-8.411,-92.83664459,7.163355408,16.3916501,2.55,3.55,0,0,1,0,-2.55,-100,0,28.16901408
Summer,8,Present,RCP 4.5,4.1,5.1,0,0.767,1.767,0.767,-3.333,-81.29268293,18.70731707,34.64705882,9.75,10.75,0,0,1,0,-9.75,-100,0,9.302325581,8.78,9.78,0.859,0.438,1.438,1.297,-8.342,-95.01138952,4.988610478,14.70347648,2.5,3.5,0,0,1,0,-2.5,-100,0,28.57142857
Summer,9,Present,RCP 4.5,4.1,5.1,0,0,1,0,-4.1,-100,0,19.60784314,9.86,10.86,0.014,1.758,2.758,1.772,-8.102,-82.1703854,17.8296146,25.39594843,8.99,9.99,0.802,0,1,0.802,-8.99,-100,0,10.01001001,2.53,3.53,0,0,1,0,-2.53,-100,0,28.3286119
Summer,10,Present,RCP 4.5,3.95,4.95,0,0,1,0,-3.95,-100,0,20.2020202,9.75,10.75,0.22,0.431,1.431,0.651,-9.319,-95.57948718,4.420512821,13.31162791,9.09,10.09,0.928,0.079,1.079,1.007,-9.011,-99.13091309,0.869086909,10.69375619,2.44,3.44,0,0.6,1.6,0.6,-1.84,-75.40983607,24.59016393,46.51162791
Summer,1,Absent,RCP 4.5,4.06,5.06,2.448,0,1,2.448,-4.06,-100,0,19.76284585,9.99,10.99,0,0,1,0,-9.99,-100,0,9.099181074,9.05,10.05,1.801,1.309,2.309,3.11,-7.741,-85.5359116,14.4640884,22.97512438,2.59,3.59,0,0,1,0,-2.59,-100,0,27.8551532
Summer,2,Absent,RCP 4.5,3.98,4.98,1.311,1.763,2.763,3.074,-2.217,-55.70351759,44.29648241,55.48192771,9.83,10.83,0,0.021,1.021,0.021,-9.809,-99.78636826,0.21363174,9.427516159,9.22,10.22,0.4,2.803,3.803,3.203,-6.417,-69.59869848,30.40130152,37.21135029,2.62,3.62,0,0,1,0,-2.62,-100,0,27.62430939
Summer,3,Absent,RCP 4.5,4.1,5.1,0.337,0,1,0.337,-4.1,-100,0,19.60784314,9.82,10.82,0,0.038,1.038,0.038,-9.782,-99.61303462,0.386965377,9.593345656,9.02,10.02,0.402,2.26,3.26,2.662,-6.76,-74.94456763,25.05543237,32.53493014,2.4,3.4,0,0,1,0,-2.4,-100,0,29.41176471
Summer,4,Absent,RCP 4.5,4.06,5.06,0,0,1,0,-4.06,-100,0,19.76284585,10.1,11.1,0,0,1,0,-10.1,-100,0,9.009009009,9.22,10.22,0.622,1.232,2.232,1.854,-7.988,-86.63774403,13.36225597,21.83953033,2.51,3.51,0,0,1,0,-2.51,-100,0,28.49002849
Summer,5,Absent,RCP 4.5,4.01,5.01,0,0,1,0,-4.01,-100,0,19.96007984,9.83,10.83,0,0,1,0,-9.83,-100,0,9.233610342,9.14,10.14,0.154,0.049,1.049,0.203,-9.091,-99.46389497,0.536105033,10.34516765,2.46,3.46,0,0,1,0,-2.46,-100,0,28.9017341
Summer,6,Absent,RCP 4.5,4.1,5.1,0,0,1,0,-4.1,-100,0,19.60784314,10.21,11.21,0,0,1,0,-10.21,-100,0,8.920606601,8.83,9.83,0.336,2.624,3.624,2.96,-6.206,-70.28312571,29.71687429,36.86673449,2.44,3.44,0,0,1,0,-2.44,-100,0,29.06976744
