"site","div","treatment","FvsCI","comm","OY.deltaBA","OY.deltaV"
"A",2,"C","CI","CaHe|NySi",3.5037226121095,39.1222538648589
"A",2,"C","CI","LiFo|SaMu",1.47364080904294,8.21813516203749
"A",2,"C","CI","ChAx|SaSe",-1.1354697230082,-16.80034562854
"A",2,"C","CI","KoBi|LiGl",-1.04053563924696,-9.65666016469646
"A",2,"C","CI","RhCh|ScSu",3.9259248669518,50.4366514602844
"A",2,"C","CI","CaSc|QuSe",0.344299103727244,2.79369223454241
"A",2,"C","CI","CaEy|CyMy",-2.4878389518728,-14.9036672425983
"A",2,"C","CI","CyGl|QuFa",-0.632069762957184,-3.7496902555369
"A",4,"C","CI","CaSc|ChAx|QuSe|SaSe",-0.735588255998277,-7.50023355790486
"A",4,"C","CI","CaHe|LiFo|NySi|SaMu",4.05501421073083,31.1043368159031
"A",4,"C","CI","CaEy|CyMy|KoBi|LiGl",-0.771365330130857,-3.03179083275939
"A",8,"C","CI","CaHe|CaSc|ChAx|LiFo|NySi|QuSe|SaMu|SaSe",0.496477995268497,32.9859132513035
"A",8,"C","CI","CaEy|CyGl|CyMy|KoBi|LiGl|QuFa|RhCh|ScSu",0.610779488480473,6.77859717545904
"A",2,"F","F","CaHe|NySi",-2.59345128847263,-37.6169066569761
"A",2,"F","F","LiFo|SaMu",1.31787182793341,18.5948192616551
"A",2,"F","F","ChAx|SaSe",-0.164266614187802,-16.0614053843689
"A",2,"F","F","KoBi|LiGl",-2.29828498038525,-18.1037767493207
"A",2,"F","F","RhCh|ScSu",0.560260617675938,15.9823279159212
"A",2,"F","F","CaSc|QuSe",-1.17696400673494,-5.09454252535583
"A",2,"F","F","CyGl|QuFa",-0.666704498258241,-5.83175821753721
"A",4,"F","F","CaSc|ChAx|QuSe|SaSe",1.5448467494145,8.32115104253904
"A",4,"F","F","CyGl|QuFa|RhCh|ScSu",-2.16640923806585,-19.7590161009545
"A",4,"F","F","CaHe|LiFo|NySi|SaMu",-0.353189160115398,-13.1542205817917
"A",4,"F","F","CaEy|CyMy|KoBi|LiGl",-0.340170064084979,-1.37973200448809
"A",8,"F","F","CaHe|CaSc|ChAx|LiFo|NySi|QuSe|SaMu|SaSe",-0.427350317347425,-5.53007553424345
"A",8,"F","F","CaEy|CyGl|CyMy|KoBi|LiGl|QuFa|RhCh|ScSu",-1.03388705626895,-11.7146433092184
"A",2,"I","CI","CaHe|NySi",-1.84700497640454,-25.4945389741104
"A",2,"I","CI","LiFo|SaMu",0.385921161733844,-0.384810003503556
"A",2,"I","CI","ChAx|SaSe",-0.420862739154444,-9.48636617114821
"A",2,"I","CI","KoBi|LiGl",-2.89392969734026,-25.0037142461418
"A",2,"I","CI","RhCh|ScSu",2.93462019811511,39.7098171012919
"A",2,"I","CI","CaSc|QuSe",4.37389634439963,21.8466333127984
"A",2,"I","CI","CaEy|CyMy",-1.49603642296438,-8.62516257570786
"A",2,"I","CI","CyGl|QuFa",-0.490271014909506,-4.77302980239046
"A",4,"I","CI","CaSc|ChAx|QuSe|SaSe",0.708410023204485,10.082930973227
"A",4,"I","CI","CyGl|QuFa|RhCh|ScSu",-1.19123905958961,-10.4097444232232
"A",4,"I","CI","CaHe|LiFo|NySi|SaMu",2.70553700101634,25.7685038614038
